date,LIT_target
2024-01-05,48.53
2024-01-08,47.46
2024-01-09,47.11
2024-01-10,47.55
2024-01-11,46.81
2024-01-12,45.97
2024-01-16,44.71
2024-01-17,45.06
2024-01-18,44.64
2024-01-19,43.92
2024-01-22,44.08
2024-01-23,44.19
2024-01-24,43.36
2024-01-25,43.44
2024-01-26,43.33
2024-01-29,42.36
2024-01-30,41.45
2024-01-31,41.87
2024-02-01,40.53
2024-02-02,39.45
2024-02-05,41.08
2024-02-06,41.21
2024-02-07,41.69
2024-02-08,41.84
2024-02-09,42.52
2024-02-12,41.0
2024-02-13,41.76
2024-02-14,42.39
2024-02-15,43.54
2024-02-16,42.12
2024-02-20,42.73
2024-02-21,42.76
2024-02-22,43.03
2024-02-23,43.54
2024-02-26,44.25
2024-02-27,44.47
2024-02-28,46.06
2024-02-29,47.16
2024-03-01,45.77
2024-03-04,43.37
2024-03-05,44.64
2024-03-06,44.76
2024-03-07,44.18
2024-03-08,46.11
2024-03-11,46.5
2024-03-12,46.47
2024-03-13,45.34
2024-03-14,45.34
2024-03-15,46.11
2024-03-18,45.69
2024-03-19,46.65
2024-03-20,46.07
2024-03-21,45.22
2024-03-22,44.74
2024-03-25,44.7
2024-03-26,45.4
2024-03-27,45.29
2024-03-28,45.58
2024-04-01,45.36
2024-04-02,45.81
2024-04-03,45.26
2024-04-04,44.97
2024-04-05,45.73
2024-04-08,46.64
2024-04-09,45.3
2024-04-10,45.84
2024-04-11,44.08
2024-04-12,44.03
2024-04-15,42.74
2024-04-16,43.15
2024-04-17,42.91
2024-04-18,42.42
2024-04-19,42.33
2024-04-22,42.34
2024-04-23,41.89
2024-04-24,42.2
2024-04-25,42.81
2024-04-26,44.92
2024-04-29,43.82
2024-04-30,44.06
2024-05-01,45.63
2024-05-02,46.0
2024-05-03,46.33
2024-05-06,46.07
2024-05-07,45.53
2024-05-08,46.46
2024-05-09,44.94
2024-05-10,45.13
2024-05-13,45.79
2024-05-14,44.92
2024-05-15,45.14
2024-05-16,45.8
2024-05-17,45.64
2024-05-20,45.12
2024-05-21,44.81
2024-05-22,43.85
2024-05-23,44.29
2024-05-24,44.03
2024-05-28,43.36
2024-05-29,43.71
2024-05-30,43.46
2024-05-31,43.64
2024-06-03,43.69
2024-06-04,44.08
