,MDA_rank,MDI_rank,SFI_rank,CFI_rank,mean_rank
ADBE_ROC_30,1698,158,989,280,781.25
PYPL_AO_5_34,1325,865,769,167,781.5
CSCO_high,1692,358,804,273,781.75
CMCSA_EOM_28_100000000,1609,242,982,296,782.25
QQQ_HMA_50,1501,428,4,1198,782.75
NFLX_MACDs_24_52_18,768,1381,913,70,783.0
MSFT_high,1780,39,19,1295,783.25
NFLX_DCL_40_40,838,1770,433,93,783.5
NVDA_BBL_40_2.0,939,499,651,1046,783.75
GOOGL_MACD_24_52_18,11,1195,845,1085,784.0
GOOG_MFI_28,348,560,1289,940,784.25
AVGO_LDECAY_10,322,825,550,1441,784.5
NFLX_BBM_40_2.0,1478,1078,484,100,785.0
QQQ_EMA_50,1838,83,21,1200,785.5
GILD_DMN_28,388,690,1482,584,786.0
SBUX_MACDs_24_52_18,407,830,1054,856,786.75
CSCO_HMA_50,811,1356,726,254,786.75
NFLX_SMA_100,1419,1198,456,78,787.75
COST_ADOSC_5_17,218,411,1139,1383,787.75
BKNG_MACDh_24_52_18,413,1257,995,487,788.0
MDLZ_STOCHd_28_6_3,541,707,1069,837,788.5
AMZN_OBV,1476,436,290,954,789.0
AMGN_FISHERTs_18_1,173,1081,1726,180,790.0
QQQ_MOM_50,423,802,746,1189,790.0
COST_EOM_28_100000000,477,538,766,1380,790.25
INTC_EMA_50,730,1611,397,424,790.5
MDLZ_open,1706,98,560,800,791.0
ISRG_KCUe_40_3.0,1213,1267,222,463,791.25
TSLA_MACDs_24_52_18,41,996,525,1604,791.5
MDLZ_CMF_30,450,768,1426,524,792.0
CMCSA_STOCHk_28_6_3,266,252,1167,1483,792.0
META_ADOSC_5_17,142,183,1276,1575,794.0
ISRG_KCBe_40_3.0,1214,1268,232,464,794.5
SBUX_PSARs_0.02_0.2,440,1123,749,869,795.25
NFLX_FISHERT_18_1,474,1357,1327,24,795.5
GOOG_SUPERT_14_4.0,878,1165,231,913,796.75
SBUX_FISHERT_18_1,141,1032,1209,807,797.25
ADBE_SQZ_20_2.0_20_1.5,1544,658,760,227,797.25
NFLX_MACDh_24_52_18,1394,787,940,72,798.25
NFLX_DCM_40_40,830,1772,501,92,798.75
NVDA_DMN_28,212,172,1799,1013,799.0
CSCO_volume,1314,36,1577,270,799.25
ISRG_KCLe_40_3.0,1203,1192,340,465,800.0
SBUX_LDECAY_10,658,1033,704,805,800.0
AMGN_ISB_52,793,1805,551,52,800.25
MSFT_CMF_30,9,277,1684,1232,800.5
AAPL_BBL_40_2.0,1026,912,108,1157,800.75
MSFT_CCI_20_0.015,247,199,1423,1336,801.25
SBUX_ICS_52,1395,181,789,844,802.25
QQQ_DCL_40_40,941,947,107,1215,802.5
CMCSA_SUPERT_14_4.0,181,746,785,1500,803.0
GOOGL_BBL_40_2.0,964,945,190,1113,803.0
CSCO_ATRr_14,1605,522,687,399,803.25
CSCO_ZS_40,377,950,1454,432,803.25
TSLA_ICS_52,379,613,645,1578,803.75
BKNG_ENTP_20,333,546,1682,656,804.25
MDLZ_BBU_40_2.0,848,976,584,816,806.0
PYPL_WILLR_14,1469,128,1461,168,806.5
QCOM_SUPERTl_14_4.0,630,1428,418,751,806.75
GILD_FISHERT_18_1,307,731,1594,595,806.75
SBUX_STOCHk_28_6_3,127,1120,1133,850,807.5
MSFT_MACDh_24_52_18,375,777,750,1329,807.75
ISRG_NVI_255,1235,1442,103,452,808.0
NVDA_RSI_28,214,347,1661,1011,808.25
COST_BBU_40_2.0,1160,457,220,1396,808.25
INTC_WMA_50,738,1612,460,423,808.25
META_high,498,661,449,1627,808.75
GOOGL_KCLe_40_3.0,966,1109,55,1107,809.25
NVDA_CCI_20_0.015,100,562,1564,1012,809.5
AAPL_BBB_40_2.0,279,934,872,1154,809.75
CSCO_STOCHd_28_6_3,171,1049,1770,255,811.25
SBUX_MFI_28,392,840,1163,854,812.25
AAPL_CCI_20_0.015,271,262,1593,1123,812.25
AAPL_MFI_28,254,463,1226,1309,813.0
AVGO_CCI_20_0.015,133,152,1251,1717,813.25
MDLZ_ICS_52,1539,295,588,832,813.5
GILD_AO_5_34,182,781,1727,564,813.5
AAPL_DCM_40_40,1001,942,136,1175,813.5
AMGN_ENTP_20,424,1004,1651,175,813.5
CSCO_SUPERTs_14_4.0,721,1444,676,414,813.75
MSFT_ROC_30,131,253,1551,1320,813.75
MDLZ_VTXP_28,483,981,1279,513,814.0
COST_UO_7_14_28,371,106,1434,1346,814.25
INTC_ATRr_14,1630,475,767,387,814.75
SBUX_HMA_50,536,1139,725,860,815.0
ISRG_VTXP_28,248,894,1628,490,815.0
MSFT_ISA_18,998,899,31,1332,815.0
GOOG_DCU_40_40,865,1349,102,945,815.25
QQQ_KAMA_10_2_30,1178,859,3,1226,816.5
GOOG_DMP_28,491,565,1233,979,817.0
TSLA_close,519,236,902,1613,817.5
AVGO_KCUe_40_3.0,449,1121,304,1402,819.0
NFLX_volume,1655,30,1513,79,819.25
ISRG_ENTP_20,510,986,1284,499,819.75
GOOG_HMA_50,901,1320,73,986,820.0
INTC_VWMA_50,801,1613,475,393,820.5
QQQ_VTXM_28,111,676,1354,1142,820.75
CMCSA_VWAP_D,1457,724,805,297,820.75
PEP_volume,161,82,1515,1531,822.25
MSFT_ADOSC_5_17,311,168,1568,1243,822.5
AAPL_BBU_40_2.0,1028,993,115,1155,822.75
AMGN_ADX_28,339,1142,1808,4,823.25
AVGO_volume,82,51,1488,1676,824.25
QCOM_NVI_255,556,1715,250,777,824.5
PYPL_SQZ_NO,613,1620,953,115,825.25
CSCO_ICS_52,1834,323,728,418,825.75
AAPL_AO_5_34,501,979,677,1148,826.25
TXN_NVI_255,766,1651,179,710,826.5
CMCSA_DMP_28,286,501,1063,1456,826.5
GILD_MOM_50,467,508,1765,568,827.0
GOOGL_KCUe_40_3.0,968,1144,93,1104,827.25
AMZN_ATRr_14,495,1202,652,962,827.75
NFLX_CCI_20_0.015,1520,410,1314,67,827.75
AAPL_close,1005,1119,52,1136,828.0
BKNG_PSARl_0.02_0.2,151,699,1827,637,828.5
TXN_HMA_50,1441,785,329,759,828.5
AVGO_RVI_14,237,89,1563,1427,829.0
AMZN_STOCHk_28_6_3,349,352,1348,1267,829.0
TXN_SMA_100,586,1704,266,762,829.5
QCOM_PSARl_0.02_0.2,637,1507,425,749,829.5
INTC_ADOSC_5_17,538,628,1775,377,829.5
ISRG_STOCHk_28_6_3,499,939,1336,547,830.25
CMCSA_ZS_40,546,1239,1252,287,831.0
AMGN_SQZ_NO,558,1646,952,170,831.5
SBUX_FISHERTs_18_1,500,761,1260,806,831.75
CSCO_BBL_40_2.0,698,1388,841,404,832.75
TSLA_MACDh_24_52_18,365,620,743,1605,833.25
ADBE_UO_7_14_28,1642,96,1317,279,833.5
ISRG_BBU_40_2.0,1579,918,371,469,834.25
COST_VTXP_28,245,817,903,1373,834.5
NVDA_CMF_30,268,217,1210,1643,834.5
AVGO_BBU_40_2.0,332,1182,417,1408,834.75
CSCO_IKS_52,714,1508,756,365,835.75
MSFT_BBU_40_2.0,1077,938,78,1256,837.25
TXN_WMA_50,570,1702,317,760,837.25
INTC_RVI_14,1708,80,1182,380,837.5
CSCO_NVI_255,757,1571,583,440,837.75
CSCO_AO_5_34,1603,448,901,406,839.5
INTC_PSARl_0.02_0.2,1375,1167,472,345,839.75
CSCO_DCU_40_40,729,1554,657,420,840.0
CSCO_ITS_18,713,1509,801,337,840.0
CMCSA_CCI_20_0.015,220,344,1320,1481,841.25
PEP_EOM_28_100000000,233,342,1322,1468,841.25
GOOGL_DMP_28,368,566,1351,1081,841.5
NFLX_BBP_40_2.0,1574,396,1310,86,841.5
TSLA_BBB_40_2.0,310,680,691,1688,842.25
CSCO_SUPERT_14_4.0,716,1409,827,417,842.25
META_CG_10,65,127,1560,1618,842.5
NVDA_ADOSC_5_17,104,359,1267,1642,843.0
MDLZ_EMA_50,631,1307,642,794,843.5
TXN_VWAP_D,1364,1021,277,712,843.5
ISRG_EMA_50,1126,1494,226,531,844.25
CMCSA_DCU_40_40,552,1841,683,303,844.75
TXN_LDECAY_10,1840,556,278,705,844.75
NFLX_AO_5_34,1298,923,1056,104,845.25
MSFT_CG_10,246,185,1665,1286,845.5
COST_CG_10,273,251,1501,1357,845.5
TXN_DCM_40_40,694,1686,288,719,846.75
ADBE_CMF_30,1467,153,1536,233,847.25
GILD_KCLe_40_3.0,518,516,1746,611,847.75
QCOM_MACDh_24_52_18,1471,875,894,152,848.0
CMCSA_open,847,286,791,1470,848.5
GOOGL_CG_10,382,488,1412,1114,849.0
ISRG_HMA_50,1124,1492,227,557,850.0
MSFT_LDECAY_10,1064,1084,18,1234,850.0
TSLA_DMP_28,465,389,945,1602,850.25
ADBE_AO_5_34,1733,686,732,250,850.25
GILD_SQZ_20_2.0_20_1.5,347,928,1530,597,850.5
AVGO_high,447,736,514,1707,851.0
MSFT_KAMA_10_2_30,1074,983,32,1315,851.0
GILD_LDECAY_10,346,728,1740,593,851.75
GOOG_VWMA_50,902,1419,101,985,851.75
GOOG_high,1839,559,23,992,853.25
TXN_ISB_52,780,1688,257,690,853.75
AMZN_WMA_50,1039,735,366,1278,854.5
QQQ_BBP_40_2.0,398,348,1452,1220,854.5
CSCO_BBM_40_2.0,699,1541,777,403,855.0
MSFT_VWAP_D,1087,1080,14,1241,855.5
PEP_CCI_20_0.015,121,220,1562,1519,855.5
ISRG_WMA_50,1125,1493,258,546,855.5
COST_KCUe_40_3.0,1169,653,218,1390,857.5
AAPL_FISHERT_18_1,114,624,1390,1303,857.75
ADBE_volume,1646,75,1416,295,858.0
AVGO_AO_5_34,219,880,922,1412,858.25
CSCO_CCI_20_0.015,1490,362,1325,258,858.75
TXN_VWMA_50,657,1700,320,758,858.75
QCOM_SUPERTs_14_4.0,636,1503,547,750,859.0
SBUX_ENTP_20,335,849,1451,801,859.0
SBUX_NVI_255,565,1794,239,838,859.0
TXN_KCBe_40_3.0,708,1716,291,722,859.25
CSCO_BBB_40_2.0,1359,747,930,401,859.25
SBUX_ISB_52,695,1247,650,847,859.75
SBUX_RSI_28,490,607,1491,851,859.75
MDLZ_DMN_28,456,884,1290,810,860.0
QCOM_DMN_28,1789,257,1250,148,861.0
BKNG_WILLR_14,1423,101,1288,633,861.25
QCOM_LDECAY_10,1736,548,390,772,861.5
QQQ_SUPERTs_14_4.0,690,1236,345,1178,862.25
BKNG_AO_5_34,257,1157,1407,631,863.0
AAPL_DCL_40_40,973,1126,125,1229,863.25
ISRG_DCU_40_40,1246,1504,243,460,863.25
CSCO_KAMA_10_2_30,696,1604,761,394,863.75
SBUX_WMA_50,747,1137,712,861,864.25
BKNG_DMN_28,1540,204,1232,483,864.75
INTC_WILLR_14,1596,178,1345,341,865.0
QCOM_EOM_28_100000000,1751,218,713,778,865.0
BKNG_SUPERTs_14_4.0,858,1451,513,638,865.0
CSCO_RVI_14,1699,197,1144,421,865.25
NFLX_RVI_14,1761,132,1481,90,866.0
COST_low,438,1367,225,1434,866.0
ISRG_KAMA_10_2_30,1430,1296,270,473,867.25
NVDA_SMA_100,542,1233,671,1023,867.25
AMZN_PSARs_0.02_0.2,1056,1077,364,975,868.0
ISRG_VWAP_D,1508,1265,247,454,868.5
GOOGL_FISHERT_18_1,337,835,1240,1062,868.5
TXN_ITS_18,781,1687,318,689,868.75
CSCO_KCLe_40_3.0,703,1189,1185,398,868.75
AMZN_KAMA_10_2_30,1061,1097,348,969,868.75
MDLZ_volume,1498,93,1090,796,869.25
GOOG_KCBe_40_3.0,862,1663,15,937,869.25
NVDA_KAMA_10_2_30,938,901,604,1036,869.75
MSFT_VTXP_28,125,564,1559,1233,870.25
AMGN_RVI_14,1495,156,1641,191,870.75
CSCO_ISB_52,712,1510,926,336,871.0
ISRG_RSI_28,1338,502,1097,548,871.25
ADBE_RVI_14,1771,63,1417,235,871.5
MDLZ_KCLe_40_3.0,1381,755,678,672,871.5
GOOGL_VWAP_D,1296,1053,44,1096,872.25
CSCO_SMA_100,819,1353,1049,269,872.5
CMCSA_SQZ_NO,562,1676,964,293,873.75
ISRG_DCM_40_40,1254,1505,287,449,873.75
TXN_DCL_40_40,692,1714,369,720,873.75
GOOG_EMA_50,899,1586,24,988,874.25
GOOG_WMA_50,900,1555,56,987,874.5
AMZN_KCBe_40_3.0,971,1225,342,960,874.5
INTC_SQZ_NO,697,1471,960,371,874.75
NFLX_VTXP_28,1429,511,1539,21,875.0
TSLA_ATRr_14,463,435,917,1686,875.25
AAPL_PSARl_0.02_0.2,1023,1179,135,1166,875.75
GILD_FISHERTs_18_1,381,925,1605,594,876.25
GOOGL_close,1510,954,40,1005,877.25
BKNG_MACD_24_52_18,409,898,1715,488,877.5
QCOM_DCU_40_40,680,1664,412,754,877.5
AAPL_KCBe_40_3.0,1004,1275,87,1150,879.0
AAPL_CMF_30,162,281,1767,1311,880.25
AAPL_KAMA_10_2_30,1025,1298,43,1159,881.25
NFLX_SQZ_NO,783,1750,968,25,881.5
MDLZ_PSARs_0.02_0.2,1166,973,563,825,881.75
AAPL_VWMA_50,1010,1266,121,1130,881.75
AMGN_STOCHk_28_6_3,790,961,1737,43,882.75
PYPL_volume,1661,71,1607,195,883.5
TXN_KCLe_40_3.0,719,1717,375,723,883.5
QQQ_CCI_20_0.015,85,636,1624,1190,883.75
AAPL_ICS_52,1742,321,303,1171,884.25
GOOGL_EMA_50,912,1522,42,1063,884.75
TXN_SUPERTs_14_4.0,843,1734,279,683,884.75
CSCO_DMP_28,1806,187,1287,260,885.0
QCOM_KCBe_40_3.0,620,1800,388,733,885.25
ADBE_MFI_28,1679,326,1305,231,885.25
AVGO_VTXP_28,78,826,1201,1440,886.25
MDLZ_OBV,1108,1322,591,525,886.5
MDLZ_MFI_28,1339,574,1112,522,886.75
AVGO_VWAP_D,531,1012,559,1448,887.5
NVDA_high,919,1038,568,1027,888.0
CMCSA_low,633,634,818,1467,888.0
AMZN_EOM_28_100000000,1389,426,745,993,888.25
CMCSA_ROC_30,282,259,1522,1493,889.0
SBUX_close,746,1237,709,865,889.25
PEP_RSI_28,76,576,1389,1518,889.75
CSCO_DCL_40_40,727,1556,881,395,889.75
QCOM_STOCHd_28_6_3,1377,1094,944,144,889.75
GOOGL_SMA_100,911,1523,120,1006,890.0
CMCSA_FISHERT_18_1,563,1217,1490,292,890.5
MSFT_HMA_50,993,1248,8,1313,890.5
GILD_STOCHd_28_6_3,290,900,1797,580,891.75
GOOGL_PSARl_0.02_0.2,956,1393,152,1066,891.75
COST_OBV,1580,249,355,1384,892.0
NFLX_RSI_28,1439,391,1674,66,892.5
PYPL_BBP_40_2.0,1379,455,1606,132,893.0
ISRG_IKS_52,1259,1477,299,542,894.25
AMGN_MACDs_24_52_18,1414,792,1368,5,894.75
GOOGL_ITS_18,951,1470,86,1073,895.0
TXN_SUPERT_14_4.0,834,1712,350,685,895.25
QQQ_PSARl_0.02_0.2,1842,515,48,1177,895.5
GOOG_SUPERTs_14_4.0,853,1416,404,910,895.75
SBUX_PSARl_0.02_0.2,823,1124,768,868,895.75
SBUX_BBU_40_2.0,776,1317,609,883,896.25
INTC_DMN_28,1749,423,1055,359,896.5
TSLA_CG_10,297,180,1428,1683,897.0
AMZN_BBM_40_2.0,1003,1215,405,966,897.25
AMGN_SUPERTd_14_4.0,576,1810,1158,47,897.75
MDLZ_BBM_40_2.0,1195,975,605,817,898.0
ADBE_RSI_28,1795,264,1211,324,898.5
GOOGL_SUPERTs_14_4.0,943,1180,408,1067,899.5
TXN_MACD_24_52_18,1392,468,984,756,900.0
MSFT_PSARl_0.02_0.2,1069,1197,11,1323,900.0
AVGO_FISHERTs_18_1,263,666,1229,1442,900.0
CSCO_VTXP_28,1442,487,1239,434,900.5
MSFT_ITS_18,1000,1256,16,1330,900.5
GOOGL_BBP_40_2.0,146,1035,1312,1109,900.5
AAPL_ENTP_20,144,1068,1095,1297,901.0
AAPL_KCLe_40_3.0,1031,1364,59,1151,901.25
ISRG_SUPERTs_14_4.0,1286,1327,455,537,901.25
NFLX_ZS_40,1703,490,1394,19,901.5
AVGO_FISHERT_18_1,99,860,1205,1443,901.75
ISRG_MOM_50,1796,379,898,534,901.75
TXN_CCI_20_0.015,1315,280,1318,695,902.0
NVDA_WMA_50,922,1043,624,1020,902.25
ISRG_WILLR_14,1586,246,1274,503,902.25
AMGN_AO_5_34,1634,673,1268,38,903.25
TXN_PSARl_0.02_0.2,839,1733,361,682,903.75
COST_HMA_50,1192,829,181,1413,903.75
MDLZ_MACD_24_52_18,366,764,1698,790,904.5
GOOGL_IKS_52,952,1450,144,1072,904.5
BKNG_CCI_20_0.015,1566,278,1292,482,904.5
GOOGL_SUPERTl_14_4.0,955,1394,201,1068,904.5
GOOG_FISHERTs_18_1,521,951,1214,933,904.75
TXN_SUPERTl_14_4.0,842,1735,360,684,905.25
META_CCI_20_0.015,215,336,1404,1666,905.25
MDLZ_BBP_40_2.0,1554,318,939,814,906.25
MSFT_SMA_100,990,1294,50,1291,906.25
COST_PSARl_0.02_0.2,1152,955,167,1351,906.25
ISRG_SUPERT_14_4.0,1317,1328,441,540,906.5
MSFT_WMA_50,992,1271,76,1289,907.0
COST_VWMA_50,1193,856,180,1399,907.0
COST_KAMA_10_2_30,1157,904,205,1369,908.75
NFLX_CG_10,1546,557,1435,102,910.0
ISRG_SQZ_20_2.0_20_1.5,1362,697,1130,451,910.0
GOOGL_WMA_50,944,1520,88,1088,910.0
GOOGL_HMA_50,945,1519,90,1087,910.25
AVGO_ITS_18,1120,721,430,1371,910.5
ISRG_DCL_40_40,1229,1506,448,461,911.0
NVDA_ICS_52,1514,114,674,1342,911.0
QCOM_DCM_40_40,679,1812,431,730,913.0
QQQ_ENTP_20,312,861,1340,1140,913.25
NFLX_ADX_28,1552,788,1257,58,913.75
NFLX_DMN_28,1784,119,1686,68,914.25
BKNG_ATRr_14,1415,702,918,623,914.5
AAPL_RSI_28,385,814,1337,1122,914.5
GOOGL_KCBe_40_3.0,967,1565,22,1106,915.0
AMGN_DMP_28,1311,959,1391,3,916.0
COST_high,1187,828,216,1435,916.5
GOOG_PSARl_0.02_0.2,1830,799,132,908,917.25
GOOG_ISB_52,881,1513,359,917,917.5
SBUX_MACD_24_52_18,103,1026,1683,858,917.5
MSFT_KCLe_40_3.0,1079,1336,5,1252,918.0
CSCO_MACDh_24_52_18,1625,853,932,263,918.25
CSCO_VWMA_50,812,1760,838,265,918.75
META_ATRr_14,526,932,633,1585,919.0
AAPL_SUPERTl_14_4.0,1022,1350,140,1168,920.0
GOOGL_NVI_255,913,1491,183,1094,920.25
GOOGL_VWMA_50,946,1516,134,1086,920.5
ADBE_SUPERTd_14_4.0,583,1748,1036,315,920.5
CSCO_ROC_30,1336,1041,897,410,921.0
CSCO_KCBe_40_3.0,704,1710,875,397,921.5
NVDA_FISHERT_18_1,316,416,1319,1635,921.5
TXN_MACDh_24_52_18,1307,539,1114,727,921.75
NVDA_ROC_30,460,587,1588,1052,921.75
CMCSA_WMA_50,645,742,837,1463,921.75
MDLZ_NVI_255,1146,1766,256,519,921.75
NVDA_close,920,1175,570,1025,922.5
CSCO_DCM_40_40,728,1559,986,419,923.0
CSCO_SQZ_NO,765,1536,954,438,923.25
META_KAMA_10_2_30,328,1301,445,1619,923.25
CMCSA_KCBe_40_3.0,665,1308,828,893,923.5
QCOM_SUPERT_14_4.0,1094,1432,415,753,923.5
ADBE_SQZ_NO,808,1685,950,251,923.5
GOOG_DCL_40_40,863,1737,148,947,923.75
COST_WMA_50,1191,879,196,1429,923.75
CSCO_SUPERTd_14_4.0,717,1472,1091,416,924.0
GILD_VWAP_D,395,1001,1700,600,924.0
NVDA_MACDh_24_52_18,452,730,1499,1017,924.5
QCOM_MACD_24_52_18,1664,1135,747,153,924.75
GOOGL_CCI_20_0.015,228,963,1431,1079,925.25
AMGN_MFI_28,1438,479,1599,187,925.75
AAPL_ISA_18,1015,1146,410,1133,926.0
ISRG_SUPERTl_14_4.0,1295,1499,372,538,926.0
SBUX_KCUe_40_3.0,806,1315,706,877,926.0
AAPL_EOM_28_100000000,1594,186,623,1307,927.5
NVDA_PSARl_0.02_0.2,933,1083,640,1055,927.75
TSLA_VTXP_28,265,332,1414,1700,927.75
META_BBL_40_2.0,241,1299,555,1617,928.0
CSCO_low,845,1798,797,272,928.0
PYPL_STOCHk_28_6_3,1607,363,1531,212,928.25
MDLZ_PSARl_0.02_0.2,1167,1105,615,827,928.5
AMGN_CG_10,1568,481,1629,36,928.5
COST_STOCHd_28_6_3,472,957,924,1361,928.5
TXN_CMF_30,750,726,1523,715,928.5
ISRG_AO_5_34,1437,774,1002,502,928.75
GILD_NVI_255,1024,1277,817,598,929.0
META_KCUe_40_3.0,464,1297,373,1582,929.0
META_EMA_50,341,1400,356,1622,929.75
QQQ_PSARs_0.02_0.2,815,1679,25,1201,930.0
GOOG_DCM_40_40,864,1791,119,946,930.0
QCOM_ZS_40,544,1433,988,757,930.5
AMZN_MOM_50,1058,782,908,974,930.5
BKNG_VTXP_28,1342,458,1265,659,931.0
GOOGL_BBM_40_2.0,965,1569,80,1112,931.5
MSFT_KCBe_40_3.0,1081,1337,61,1251,932.5
AMGN_CMF_30,1538,285,1718,189,932.5
GILD_WILLR_14,1523,110,1532,566,932.75
PYPL_SUPERTd_14_4.0,666,1708,1153,204,932.75
PYPL_FISHERT_18_1,1421,526,1645,139,932.75
QQQ_VWMA_50,963,1535,36,1197,932.75
GOOGL_SUPERT_14_4.0,953,1382,327,1070,933.0
PEP_SQZ_20_2.0_20_1.5,410,529,1316,1479,933.5
INTC_SUPERTd_14_4.0,736,1587,1064,348,933.75
SBUX_BBL_40_2.0,785,1318,751,885,934.75
MSFT_KCUe_40_3.0,1082,1338,71,1250,935.25
ISRG_STOCHd_28_6_3,1263,610,1326,545,936.0
GOOG_FISHERT_18_1,511,1076,1227,934,937.0
INTC_MACD_24_52_18,1729,737,893,392,937.75
CMCSA_MFI_28,1367,583,1504,298,938.0
MDLZ_SUPERTs_14_4.0,1201,1303,421,828,938.25
PEP_DMN_28,402,694,1138,1520,938.5
GOOG_IKS_52,879,1822,138,915,938.5
PEP_PSARs_0.02_0.2,445,1289,462,1560,939.0
GOOGL_DCM_40_40,957,1578,118,1103,939.0
QQQ_FISHERTs_18_1,135,1009,1444,1173,940.25
TXN_SQZ_20_2.0_20_1.5,1352,855,846,709,940.5
ADBE_BBP_40_2.0,1822,224,1475,243,941.0
GOOG_SUPERTl_14_4.0,852,1809,193,911,941.25
GOOGL_DCU_40_40,942,1594,128,1102,941.5
GILD_ISA_18,1707,683,800,579,942.25
QQQ_ROC_30,1365,290,914,1202,942.75
INTC_DMP_28,1618,165,1631,360,943.5
MSFT_BBM_40_2.0,1076,1331,83,1285,943.75
AAPL_ITS_18,1017,1502,95,1161,943.75
ADBE_ATRr_14,1812,1050,673,242,944.25
PEP_KCUe_40_3.0,1216,549,473,1544,945.5
SBUX_SQZ_20_2.0_20_1.5,1515,588,870,809,945.5
GOOG_NVI_255,871,1790,186,936,945.75
INTC_BBB_40_2.0,1604,908,883,389,946.0
ISRG_SQZ_NO,936,1438,962,450,946.5
AAPL_MACDs_24_52_18,1012,1092,557,1127,947.0
AMZN_NVI_255,887,1640,261,1004,948.0
PEP_SMA_100,1148,679,437,1530,948.5
QQQ_EOM_28_100000000,1671,216,701,1206,948.5
QQQ_BBM_40_2.0,1179,1354,39,1223,948.75
GOOGL_DCL_40_40,969,1539,195,1092,948.75
PEP_DMP_28,479,449,1347,1521,949.0
AMGN_ZS_40,554,1655,1411,176,949.0
CMCSA_CG_10,399,261,1650,1488,949.5
BKNG_SQZ_20_2.0_20_1.5,1477,296,1361,664,949.5
MDLZ_AO_5_34,1573,480,925,821,949.75
PEP_KCBe_40_3.0,446,1285,524,1545,950.0
MDLZ_VTXM_28,1786,328,1176,512,950.5
CSCO_ENTP_20,732,1387,1253,431,950.75
GILD_PSARl_0.02_0.2,275,1169,1794,570,952.0
AMGN_VTXM_28,1533,798,1300,177,952.0
GOOG_BBB_40_2.0,1302,794,815,897,952.0
QCOM_UO_7_14_28,1388,53,1627,744,953.0
QCOM_CG_10,1636,209,1241,729,953.75
SBUX_ADX_28,156,1027,1778,855,954.0
ISRG_CCI_20_0.015,1499,150,1619,549,954.25
AVGO_DCM_40_40,1119,872,402,1425,954.5
MDLZ_BBB_40_2.0,436,977,1592,815,955.0
TSLA_DMN_28,36,399,1785,1601,955.25
CSCO_SUPERTl_14_4.0,718,1474,1215,415,955.5
AMGN_VTXP_28,1433,542,1669,178,955.5
AVGO_MACD_24_52_18,232,1028,839,1726,956.25
NFLX_SUPERTd_14_4.0,821,1478,1455,71,956.25
QCOM_BBB_40_2.0,1391,807,895,737,957.5
QQQ_DCM_40_40,947,1595,79,1214,958.75
GOOGL_ISB_52,950,1445,367,1074,959.0
CSCO_WMA_50,827,1825,921,266,959.75
ISRG_ISB_52,1332,1330,635,544,960.25
QQQ_BBU_40_2.0,1105,1487,27,1222,960.25
META_ICS_52,1361,177,647,1658,960.75
MSFT_SQZ_20_2.0_20_1.5,1727,121,757,1238,960.75
GOOG_KAMA_10_2_30,1536,1370,37,902,961.25
GOOG_PSARs_0.02_0.2,855,1007,1096,896,963.5
AAPL_ATRr_14,1481,558,664,1152,963.75
CSCO_UO_7_14_28,1717,54,1677,408,964.0
GILD_ADX_28,1621,692,929,614,964.0
QCOM_WILLR_14,1640,208,1264,745,964.25
MSFT_VTXM_28,430,765,1405,1257,964.25
AMZN_VWMA_50,1041,1128,414,1276,964.75
MDLZ_BBL_40_2.0,1765,685,593,818,965.25
PEP_BBP_40_2.0,73,623,1617,1548,965.25
CMCSA_MACDs_24_52_18,126,744,1533,1458,965.25
PYPL_CMF_30,1645,350,1749,122,966.5
MDLZ_CCI_20_0.015,1567,322,1184,798,967.75
GILD_VWMA_50,1047,1290,889,646,968.0
NVDA_ADX_28,250,834,1774,1015,968.25
PYPL_MACD_24_52_18,1435,1375,848,220,969.5
PEP_ADOSC_5_17,345,528,1204,1804,970.25
TXN_WILLR_14,1778,47,1379,678,970.5
AAPL_IKS_52,1018,1550,143,1172,970.75
PYPL_BBB_40_2.0,1356,604,1792,133,971.25
CMCSA_CMF_30,1432,377,1776,300,971.25
GOOG_ENTP_20,280,1102,1576,928,971.5
AAPL_BBM_40_2.0,1027,1623,82,1156,972.0
MSFT_IKS_52,1032,1465,64,1328,972.25
PYPL_ENTP_20,611,1346,1768,164,972.25
MSFT_DMP_28,515,443,1596,1338,973.0
CSCO_ADOSC_5_17,1610,194,1644,444,973.0
AAPL_VWAP_D,978,1566,41,1308,973.25
COST_ENTP_20,496,1040,906,1454,974.0
COST_FISHERT_18_1,486,882,1155,1376,974.75
ISRG_MFI_28,1466,776,1206,455,975.75
PEP_VWMA_50,1097,732,548,1526,975.75
MSFT_ISB_52,999,1463,113,1331,976.5
AMZN_DCM_40_40,1345,1204,401,957,976.75
ADBE_DMN_28,1820,477,1286,326,977.25
BKNG_UO_7_14_28,1752,60,1465,632,977.25
INTC_VTXM_28,1632,513,1484,281,977.5
CMCSA_MACDh_24_52_18,28,743,1680,1459,977.5
SBUX_WILLR_14,1764,157,1099,890,977.5
AMZN_IKS_52,1051,1238,363,1262,978.5
GOOGL_KAMA_10_2_30,1641,1090,70,1115,979.0
SBUX_SUPERTs_14_4.0,809,1665,575,867,979.0
MSFT_SUPERT_14_4.0,1034,1431,126,1327,979.5
AVGO_PSARaf_0.02_0.2,309,714,1085,1810,979.5
GOOG_UO_7_14_28,1799,40,1177,904,980.0
META_DMP_28,165,602,1487,1668,980.5
MDLZ_KAMA_10_2_30,1196,1300,606,820,980.5
TSLA_open,1412,61,834,1616,980.75
